Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR1039508	0.4625656696736924	221	3.12	1492.0						
SRR1039508_R1					1.0949697918210903	59.1128476212365	47.0	63.0	18.181818181818183	47861.0
SRR1039508_R1_val_1						58.28327437888524	48.0	62.34989639366222	18.181818181818183	47777.0
SRR1039508_R2					1.2026559716745882	53.532103382712435	47.0	63.0	18.181818181818183	47861.0
SRR1039508_R2_val_2						52.981560164932915	47.0	62.30966783180191	27.27272727272727	47777.0
SRR1039509	0.4243193210890862	204	2.69	1292.0						
SRR1039509_R1					1.078381410636264	62.14741994358719	47.0	63.0	9.090909090909092	48216.0
SRR1039509_R1_val_1						61.29542192732492	47.0	62.349834640264575	18.181818181818183	48077.0
SRR1039509_R2					1.340001738209802	55.423510867761735	47.0	63.0	27.27272727272727	48216.0
SRR1039509_R2_val_2						54.857832227468435	47.0	62.29943632090189	27.27272727272727	48077.0
SRR1039512	0.022261348228199057	11	0.92	454.0						
SRR1039512_R1					1.6760668434308603	77.0015288059221	46.0	63.0	9.090909090909092	49712.0
SRR1039512_R1_val_1						74.8851516807318	46.0	62.03863355797058	18.181818181818183	49413.0
SRR1039512_R2					1.967076391762584	78.28290955906019	45.0	63.0	9.090909090909092	49712.0
SRR1039512_R2_val_2						76.81177018193593	46.0	61.98095642847024	18.181818181818183	49413.0
SRR1039513	0.7495704467353952	349	5.18	2413.0						
SRR1039513_R1					2.1237315013248623	55.73997233748271	47.0	63.0	10.0	46995.0
SRR1039513_R1_val_1						53.541666666666664	47.0	61.811060996563576	20.0	46560.0
SRR1039513_R2					2.6245953216907574	55.608043408873286	47.0	63.0	10.0	46995.0
SRR1039513_R2_val_2						53.68556701030928	47.0	61.68410652920962	20.0	46560.0
